wire,kind,a,b
mjb,XOR,ntg,fgs
tnw,OR,y02,x01
z05,OR,kwq,kpj
fst,OR,x00,x03
z01,XOR,tgd,rvg
bfw,OR,vdt,tnw
z10,AND,bfw,frj
bqk,OR,ffh,nrd
djm,AND,y00,y03
psh,OR,y03,y00
z08,OR,bqk,frj
frj,OR,tnw,fst
z11,AND,gnj,tgd
z00,XOR,bfw,mjb
vdt,OR,x03,x00
z02,AND,gnj,wpb
kjc,AND,x04,y00
qhw,OR,djm,pbm
hwm,AND,nrd,vdt
rvg,AND,kjc,fst
fgs,OR,y04,y02
pbm,AND,y01,x02
kwq,OR,ntg,kjc
tgd,XOR,psh,fgs
z09,XOR,qhw,tgd
kpj,OR,pbm,djm
ffh,XOR,x03,y03
ntg,XOR,x00,y04
z06,OR,bfw,bqk
wpb,XOR,nrd,fgs
z04,XOR,frj,qhw
z07,OR,bqk,frj
nrd,OR,y03,x01
z03,AND,hwm,bqk
z12,XOR,tgd,rvg
gnj,OR,tnw,pbm
